372 81 6 419 95 196 282 98 706 795 327 894 126 184 
46 87 17 64 8 79 206 236 34 408 3 48 157 84 
161 258 1436 261 306 354 386 383 479 235 291 135 515 595 
295 50 504 175 357 7 728 756 228 522 616 639 523 856 
208 292 400 211 58 5 568 604 139 432 123 626 256 483 
273 918 296 678 271 1112 1230 323 410 763 948 786 1345 1043 
198 215 858 789 500 882 1089 421 1476 593 498 926 801 890 
69 636 78 594 371 382 40 404 723 413 457 840 746 767 
447 643 329 638 993 617 696 842 725 1044 897 1066 1584 964 
1052 1293 958 1272 1447 1320 1322 1077 1525 333 1165 1557 843 817 
18 93 151 487 1590 658 1746 736 2118 2152 661 3444 3641 52 
870 1130 867 957 916 990 1082 954 1628 1120 1496 1050 1654 1145 
219 1199 1677 1110 403 1847 1587 1148 427 1159 1190 339 1153 1389 
1215 1161 1461 1517 1548 1208 1222 1783 1365 1380 1571 1728 1329 1810 
502 1692 1492 1410 1538 1696 1738 1755 1983 1694 1857 1892 1993 2017 
1456 1184 1250 1457 1300 1598 1784 1880 1415 1893 1516 1665 1484 2193 
1640 1264 1391 526 1652 1979 760 1463 777 2045 1048 1561 2302 606 
2359 1574 2491 1585 2630 1169 1855 1221 1976 1231 1333 1179 2935 1903 
1209 3048 1409 1372 676 1583 687 1682 1439 1862 1751 3137 1521 1888 
588 2245 2038 2047 2347 2410 2799 2006 2200 2917 2225 2042 2930 2311 
2012 853 1926 3333 973 3426 3447 1962 1012 1986 1989 2171 2023 1568 
2086 3459 1672 1331 2421 1704 3563 1405 1719 2269 1756 1778 2256 1441 
1505 1970 2003 1837 2967 1933 2040 2365 2139 2150 2090 1910 2113 1923 
3584 1985 1995 2362 2028 2126 1610 2635 1645 2140 2584 2220 1955 2041 
2678 2414 1666 2806 2247 3704 3826 2125 3830 2940 3306 3983 1680 3320 
441 2173 443 2277 2329 2352 2209 230 2401 2345 2398 2101 2449 2511 
2198 4004 3016 642 2297 2319 3074 737 2486 2447 1813 2493 2131 2495 
2520 2427 2226 2774 2695 2854 2775 2433 2853 2281 1683 2430 2478 3034 
779 2826 2848 3143 2575 2490 2141 2232 2497 3367 3195 3323 818 2568 
3429 2902 2957 2583 2633 956 2733 3488 3388 3739 1204 4009 2893 1205 
3471 2344 4016 2659 2237 3049 2696 2324 4084 2357 3509 3741 2918 2606 
1226 3774 1248 1376 1569 3075 4079 2780 4088 2962 3205 3401 1726 2884 
247 56 632 2512 3104 3454 510 2596 2865 3528 1711 2821 3616 275 
906 1397 944 1065 3249 1180 2680 1212 1459 1387 3402 1632 1730 1944 
550 3879 1172 4164 2647 10 332 1734 1764 1781 2530 2160 2266 2720 
3862 2684 2685 2562 2637 4243 2705 1994 2998 3921 4017 4324 3086 4064 
3723 2969 3964 4074 2915 4533 4228 4140 4418 3139 1841 2800 3032 1897 
3097 4574 3270 4519 1928 2819 4703 3112 3093 4612 1934 4445 1972 3108 
2694 2886 2903 3065 3116 3197 3118 2966 3206 4457 3257 3211 4208 3457 
4736 4907 3472 3291 3490 3539 3553 3537 4971 3487 3569 5173 3571 4288 
2855 2963 2873 2992 4190 2640 4219 3166 2641 4531 4541 3256 3313 2280 
806 1774 3274 4332 1957 2020 2051 4427 2653 2399 4478 3271 3281 4661 
5149 5162 3315 2068 3378 3439 5182 4668 3121 3356 5260 4498 5263 4712 
2500 3349 3357 962 4932 3464 3502 2441 2991 2723 2860 4960 3986 3088 
2088 3597 3532 2143 2110 2192 2322 2385 2439 68 2477 2619 2664 2120 
3657 2460 3292 3236 4993 3506 3773 3700 2599 3836 2069 3865 2718 3874 
3670 3608 4584 4591 5401 5276 3744 3565 3860 3656 5334 3719 5413 5693 
150 830 1348 4124 194 611 145 4878 3667 125 1214 2875 985 4139 
4719 2457 3604 3473 4735 3664 3576 5517 3578 4770 5537 3727 3728 5664 
1399 2473 5088 2742 5153 1444 3883 3394 3172 3963 4118 2753 4229 4295 
2671 2294 2722 2363 2788 2396 2423 131 3373 3268 2539 3452 2591 2827 
5205 4420 3580 4458 4473 5685 2776 4152 5355 5477 2839 2866 4385 3585 
276 4241 5071 3590 3708 2504 3780 517 4132 1152 545 1187 5380 1667 
3820 5801 3885 3856 3916 4726 3892 4805 5897 4113 3904 4043 3965 4144 
3714 4425 4505 2927 3750 5704 3026 5516 3202 3767 3908 4242 5533 3606 
3979 4233 5913 4277 6286 4068 3822 4315 4082 4909 6451 4060 4078 4134 
4945 4373 4221 4224 6576 3731 4411 5189 4524 4237 6631 5201 4842 4383 
4460 6723 6922 4345 7068 4463 2542 4704 7135 5806 4375 7193 4892 7608 
2790 5224 3969 5824 4913 4000 2813 4002 4838 2881 2914 3023 4069 4865 
4421 4496 4623 5534 4506 5216 3237 4266 5692 4649 5723 3288 5309 5726 
5863 4760 5006 5982 1740 6110 5030 3043 4832 3442 5391 4175 5462 5632 
5272 5405 4335 3053 5644 5835 3170 4351 3194 4510 4479 5880 5354 3639 
5691 4566 5956 5827 4896 4914 4651 6068 4797 5850 4579 3276 4866 3338 
4615 4867 4694 4876 3666 6219 4900 6233 4997 5012 4436 6284 4729 4767 
4551 6569 5093 5987 5882 4775 4855 3359 6034 4620 5998 4916 6030 5113 
4948 4991 6293 6094 4757 4781 6108 3377 6383 6167 5034 4806 5357 6692 
5175 4862 5198 4917 5123 5402 4972 6574 5545 6636 5441 5513 4996 5556 
5409 5589 7948 5605 5657 5672 5456 4401 5542 7959 4942 7987 8062 5658 
5048 3423 6741 5055 6187 5099 5097 5837 6200 6906 4598 6262 5170 5195 
6964 3663 6969 5218 4889 6281 3804 6502 5246 5127 6514 7063 8073 6567 
1725 6668 1912 2922 5579 5807 4184 6045 5910 6687 5628 5079 6051 5206 
8175 4931 5889 6791 8185 4937 7229 4963 4990 8273 5103 8316 5925 5941 
5145 8458 5250 6032 5183 5701 5765 5337 5419 5561 5458 5773 6103 5512 
5225 6817 5285 5286 6691 5254 4008 5676 6722 5731 5757 5238 6821 6144 
8599 8942 6161 5594 5666 6190 5683 6215 5810 6269 5979 9122 6320 6453 
6827 6865 5275 5811 5331 6907 6912 5475 6968 5864 5284 6186 6257 7435 
3617 246 2829 5792 3184 3680 3489 3227 3829 3837 418 3427 702 3872 
7114 6182 6301 5532 6192 7184 5716 6390 7474 5738 5394 6228 6967 7493 
7156 6837 5740 5857 7207 6346 7369 7532 7663 7498 5894 5933 7047 6488 
4023 7515 7136 5541 5554 6916 5614 7225 6066 5626 5656 7587 7275 7293 
7566 5986 6157 6248 7102 7631 5678 7730 7182 7742 6292 4072 7879 7019 
6101 5940 9158 9205 6156 6472 6142 9265 6251 5583 6553 6452 6811 5624 
7183 7224 7337 4087 7969 7806 7230 8507 7310 7865 7448 7299 5772 6490 
6677 7941 6831 7348 7617 7375 8000 4249 7429 7666 7475 8004 8531 8660 
2014 8124 6247 7667 2950 7011 4949 2050 7181 8172 8256 8423 7527 8693 
8831 8961 8858 5788 9322 4265 7236 9035 7483 7639 6236 7744 9083 7757 
6858 6931 6696 6214 4371 6710 6867 6244 5815 7043 6276 6902 7074 7144 
7157 6911 7241 7459 7582 7680 7763 6308 5830 7905 6926 9286 6013 9305 
9424 6217 9787 7936 6985 6360 9800 6315 6432 9845 6441 10090 7013 10125 
7276 7758 7588 7786 7702 7578 9129 7857 9341 7745 7885 7999 7562 5794 
5795 6311 5948 6203 7710 7778 7746 10141 7940 9132 4470 6285 6421 6664 
684 2978 297 565 3215 378 2276 2878 3264 2437 6342 3371 1916 2654 
9166 7585 9422 8059 9445 9448 4485 8093 7636 9510 8046 7825 8120 10045 
8212 8265 9746 8276 10041 7903 8370 7850 10145 10147 8382 10066 8145 7920 
3341 10103 8402 5351 8235 8080 10132 1245 10171 10285 8407 8438 8367 6378 
7950 7921 4502 6694 7945 6362 6466 4529 6333 6700 4710 6467 8021 6403 
3549 8195 10522 8395 8469 6222 6648 8470 3364 8436 8494 8498 8527 2579 
6905 2656 10500 8520 2763 10674 466 8602 8901 8662 8263 10695 8926 8268 
8972 9101 9162 8067 8049 10855 10598 9522 8396 10871 6732 10051 11009 8740 
6386 8250 6760 7964 8269 4738 7176 6464 5009 6476 8156 6726 6607 7311 
7029 7984 10170 6551 10295 6602 6647 8058 6720 5128 7073 7095 7146 7259 
8085 6803 8091 8176 6868 7111 8295 7341 6928 7422 7008 7294 8514 7467 
3887 4217 4272 4284 7024 4309 4356 4828 5120 5231 5292 6300 3740 5407 
8198 7044 8320 8326 6805 5138 5196 5293 8552 7319 5437 8915 8330 6838 
10082 8931 11019 8454 10293 10655 8941 8966 5546 8496 11046 10853 9190 10928 
5638 8456 7571 6980 8366 8401 7756 5648 7876 7886 5888 6987 6042 7992 
8047 8672 8071 6501 8479 6521 8796 6697 7163 8943 10343 9029 6711 9051 
8459 7035 8503 7507 7684 9113 8545 9070 8598 9170 9214 8609 7343 7050 
854 5461 3793 5576 4491 4536 5782 7333 4557 5802 4577 4903 5014 5906 
8677 7363 8627 8746 7128 7484 7767 9253 7150 7186 7863 7344 10376 8051 
7072 7703 9121 7416 7694 7977 9144 7748 8129 9189 7878 7912 7075 7166 
10978 8909 7305 11040 9288 8747 11092 11041 9536 9582 9306 9617 9729 8807 
11172 9820 9949 8789 9988 10032 11144 11281 8173 7381 9335 10686 11156 11404 
8840 8843 11470 9393 8846 11257 11587 8859 10220 11716 10284 8953 10788 11778 
9213 10572 7177 8448 8472 7272 10691 7361 8511 8589 7570 9330 7421 8154 
10835 8635 9372 8182 9420 8261 7670 8271 8647 8445 9428 8710 10985 9440 
11815 10338 11405 8936 8478 9466 9097 11857 9468 11902 8881 10359 11218 8938 
9499 9594 9116 7679 9447 9115 9603 9404 7780 8762 9750 7797 9442 8905 
8950 9588 7761 9600 7867 8025 8184 9911 8952 9685 9074 9192 8314 8432 
11231 9919 10489 8993 3665 9130 11903 12016 10617 10739 9137 9207 9245 9326 
11459 11491 9332 12117 9754 11579 12103 12161 12138 12163 9738 9531 9877 10767 
6070 5023 982 6160 8733 6173 6198 1497 1908 6339 2373 6463 6782 3840 
12172 9688 11661 12362 9744 12219 9963 12407 8528 10777 12494 9902 9945 10138 
3560 12235 3863 12601 3069 12745 12839 3939 12854 10851 11677 12329 12338 4415 
5150 5245 5295 6892 7188 5975 11031 5307 8933 7717 7719 5445 7759 3436 
9812 9765 9325 8734 9018 9960 7816 10005 8837 9979 9413 9855 9857 10048 
11947 8865 12382 10986 11106 10115 8877 10322 12465 9677 10889 11951 12924 12995 
